Network,Contract,Method,Min Gas,Max Gas,Avg Gas,L2 Avg (Exec),L1 Avg (Bytes/Data),Calls,USD Avg,Block %,L1 Gas Price,L1 Blob Base Fee,L2 Gas Price,Token Price,Currency
Arbitrum,AdvancedToken,blacklist,47341,47353,47352,47352,240,47,0.00176149,,,0,0.01,3720,ETH
Arbitrum,AdvancedToken,pause,-,-,27743,27743,216,47,0.00103204,,,0,0.01,3720,ETH
Arbitrum,AdvancedToken,unblacklist,25415,25427,25426,25426,239,46,0.00094585,,,0,0.01,3720,ETH
Arbitrum,AdvancedToken,unpause,-,-,27721,27721,215,46,0.00103122,,,0,0.01,3720,ETH
Arbitrum,AdvancedToken,deployment,-,-,973081,973081,2827,,0.03619861,3.2,0,0,0.01,3720,ETH
Arbitrum,BasicToken,approve,26506,46406,34786,34786,252,46,0.00129404,,,0,0.01,3720,ETH
Arbitrum,BasicToken,burn,33808,33832,33809,33809,222,46,0.00125769,,,0,0.01,3720,ETH
Arbitrum,BasicToken,mint,36693,53817,40750,40750,249,93,0.0015159,,,0,0.01,3720,ETH
Arbitrum,BasicToken,transfer,34486,51610,35230,35230,247,46,0.00131056,,,0,0.01,3720,ETH
Arbitrum,BasicToken,deployment,-,-,768883,768883,2198,,0.02860245,2.6,0,0,0.01,3720,ETH
Arbitrum,MultiSigWallet,confirmTransaction,57501,74613,63417,63417,216,139,0.00235911,,,0,0.01,3720,ETH
Arbitrum,MultiSigWallet,executeTransaction,70275,70287,70286,70286,215,46,0.00261464,,,0,0.01,3720,ETH
Arbitrum,MultiSigWallet,revokeConfirmation,32296,35581,35509,35509,215,46,0.00132093,,,0,0.01,3720,ETH
Arbitrum,MultiSigWallet,submitTransaction,81380,101352,85260,85260,252,48,0.00317167,,,0,0.01,3720,ETH
Arbitrum,MultiSigWallet,deployment,-,-,1262755,1262755,3235,,0.04697449,4.2,0,0,0.01,3720,ETH
Arbitrum,MyNFT,approve,48655,48679,48678,48678,244,46,0.00181082,,,0,0.01,3720,ETH
Arbitrum,MyNFT,batchMint,-,-,199119,199119,242,1,0.00740723,,,0,0.01,3720,ETH
Arbitrum,MyNFT,safeMint,61562,95762,71491,71491,236,93,0.00265947,,,0,0.01,3720,ETH
Arbitrum,MyNFT,transferFrom,38426,55526,39507,39507,263,47,0.00146966,,,0,0.01,3720,ETH
Arbitrum,MyNFT,deployment,-,-,1186392,1186392,3373,,0.04413378,4,0,0,0.01,3720,ETH
Arbitrum,SimpleAuction,auctionEnd,-,-,62830,62830,217,2,0.00233728,,,0,0.01,3720,ETH
Arbitrum,SimpleAuction,bid,40267,69074,48623,48623,218,95,0.00180878,,,0,0.01,3720,ETH
Arbitrum,SimpleAuction,withdraw,23509,28560,25642,25642,217,45,0.00095388,,,0,0.01,3720,ETH
Arbitrum,SimpleAuction,deployment,-,-,412278,412278,1206,,0.01533674,1.4,0,0,0.01,3720,ETH
Arbitrum,SimpleStaking,exit,-,-,153355,153355,218,1,0.00570481,,,0,0.01,3720,ETH
Arbitrum,SimpleStaking,getReward,67287,120587,77424,77424,216,46,0.00288017,,,0,0.01,3720,ETH
Arbitrum,SimpleStaking,stake,126368,143468,133372,133372,228,48,0.00496144,,,0,0.01,3720,ETH
Arbitrum,SimpleStaking,withdraw,72768,81168,80985,80985,228,46,0.00301264,,,0,0.01,3720,ETH
Arbitrum,SimpleStaking,deployment,-,-,772065,772065,1900,,0.02872082,2.6,0,0,0.01,3720,ETH
Base,AdvancedToken,blacklist,47341,47353,47352,47352,2154,47,0.00117679,,,0.749024307,0,0.00664,3720,ETH
Base,AdvancedToken,pause,-,-,27743,27743,1770,47,0.00069103,,,0.749024307,0,0.00664,3720,ETH
