Network,Contract,Function,Min,Max,L2 Avg (Exec),L1 Avg (Bytes),Calls,usd avg
Arbitrum One,AdvancedToken,blacklist,47341,47353,47352,240,47,0.00176149
Arbitrum One,AdvancedToken,pause,27741,27745,27743,216,47,0.00103204
Arbitrum One,AdvancedToken,unblacklist,25415,25427,25426,239,46,0.00094585
Arbitrum One,AdvancedToken,unpause,27719,27723,27721,215,46,0.00103122
Arbitrum One,BasicToken,approve,26506,46406,34786,252,46,0.00129404
Arbitrum One,BasicToken,burn,33808,33832,33809,222,46,0.00125769
Arbitrum One,BasicToken,mint,36693,53817,40750,249,93,0.0015159
Arbitrum One,BasicToken,transfer,34486,51610,35230,247,46,0.00131056
Arbitrum One,MultiSigWallet,confirmTransaction,57501,74613,63417,216,139,0.00235911
Arbitrum One,MultiSigWallet,executeTransaction,70273,70289,70286,215,46,0.00261464
Arbitrum One,MultiSigWallet,revokeConfirmation,32294,35583,35509,215,46,0.00132093
Arbitrum One,MultiSigWallet,submitTransaction,81380,101352,85260,252,48,0.00317167
Arbitrum One,MyNFT,approve,48655,48679,48678,244,46,0.00181082
Arbitrum One,MyNFT,batchMint,-,-,199119,242,1,0.00740723
Arbitrum One,MyNFT,safeMint,61562,95762,71491,236,93,0.00265947
Arbitrum One,MyNFT,transferFrom,38426,55526,39507,263,47,0.00146966
Arbitrum One,SimpleAuction,auctionEnd,62828,62833,62830,217,2,0.00233728
Arbitrum One,SimpleAuction,bid,40267,69074,48623,218,95,0.00180878
Arbitrum One,SimpleAuction,withdraw,23509,28560,25642,217,45,0.00095388
Arbitrum One,SimpleStaking,exit,153351,153358,153355,218,1,0.00570481
Arbitrum One,SimpleStaking,getReward,67287,120587,77424,216,46,0.00288017
Arbitrum One,SimpleStaking,stake,126368,143468,133372,228,48,0.00496144
Arbitrum One,SimpleStaking,withdraw,72768,81168,80985,228,46,0.00301264
Base,AdvancedToken,blacklist,47341,47353,47352,2154,47,0.00117679
Base,AdvancedToken,pause,27741,27746,27743,1770,47,0.00069103
Base,AdvancedToken,unblacklist,25415,25427,25426,2152,46,0.00063494
Base,AdvancedToken,unpause,27718,27725,27721,1767,46,0.00069047
Base,BasicToken,approve,26506,46406,34786,2421,46,0.00086707
Base,BasicToken,burn,33808,33832,33809,1929,46,0.00084142
Base,BasicToken,mint,36693,53817,40750,2382,93,0.00101434
Base,BasicToken,transfer,34486,51610,35230,2301,46,0.00087768
Base,MultiSigWallet,confirmTransaction,57501,74613,63417,1867,139,0.00157291
Base,MultiSigWallet,executeTransaction,70274,70288,70286,1867,46,0.00174266
Base,MultiSigWallet,revokeConfirmation,32295,35582,35509,1867,46,0.00088324
Base,MultiSigWallet,submitTransaction,81380,101352,85260,2578,48,0.00211489
Base,MyNFT,approve,48655,48679,48678,2251,46,0.00120985
Base,MyNFT,batchMint,-,-,199119,2252,1,0.00492761
Base,MyNFT,safeMint,61562,95762,71491,2096,93,0.00177314
